# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9921901184743882,0.4688537765092641,0.03141720127374742,0,3.0,0.10899867856161266,0.0,0.0,0.0
 0.08172938433622501,2.00220965536407,0.4688592705585877,0.03141720127374742,0.24518815300867502,3.0,0.10899867856161266,0.0,1.848591005670138,0.0
 0.11557306267069796,2.0122258027166295,0.4688756997195484,0.09398032064164744,0.3467191880120939,3.0000000000000004,0.10831730065139177,0.0,2.3938783420928855,0.0
 0.141535530190748,2.02223852577794,0.4689029845116304,0.1561313093451852,0.4246065905722439,2.9999999999999973,0.1076358572318978,0.0,2.821485057264058,0.0
 0.16341724886511444,2.0322477897938724,0.4689410454543184,0.21787025161216603,0.4902517465953432,2.9999999999999973,0.10695434153197908,0.0,3.1819867163796727,0.0
 0.18269042093548749,2.0422535600103,0.4689898030670967,0.27919722912259276,0.5480712628064623,3.0,0.10627274679937085,0.0,3.49690419113228,0.0
 0.20011014090990484,2.052255801673094,0.46904917786944983,0.3401123209094835,0.6003304227297144,2.9999999999999982,0.10559106551884437,0.0,3.7779458373964916,0.0
 0.21612500320383307,2.0622544800281273,0.4691190903808623,0.40061560324930773,0.6483750096114991,3.0,0.1049092904484005,0.0,4.032364625074345,0.0
 0.23102731286505296,2.0722495603212723,0.4691994611208185,0.46070714955911446,0.6930819385951587,2.9999999999999942,0.10422741410199335,0.0,4.265040014722283,0.0
 0.24502011962156506,2.0822410077984,0.46929021060880294,0.5203870302939149,0.735060358864695,3.000000000000004,0.1035454280738895,0.0,4.479449619762116,0.0
 0.2582512724591481,2.092228787705384,0.4693912593643001,0.5796553128412406,0.774753817377444,2.9999999999999916,0.10286332436378288,0.0,4.678180381746291,0.0
 0.2708323924192061,2.1022128652880956,0.4695025279067944,0.6385120614187807,0.812497177257618,3.0000000000000044,0.10218109430638792,0.0,4.863221513244014,0.0
 0.28285020312226544,2.112193205792407,0.46962393675577035,0.696957336971993,0.8485506093667962,3.0000000000000044,0.10149872910168,0.0,5.036143589870281,0.0
 0.29437367521245944,2.1221697744641914,0.4697554064307124,0.7549911970720726,0.8831210256373782,3.0,0.10081621967696752,0.0,5.198213743190638,0.0
 0.30545873280881575,2.1321425365493196,0.469896857451105,0.8126136958135117,0.916376198426447,2.999999999999995,0.10013355654228494,0.0,5.350472858609245,0.0
 0.31615146771503544,2.1421114572936646,0.4700482103364326,0.8698248837135439,0.948454403145106,2.99999999999999,0.0994507303432929,0.0,5.4937890955630655,0.0
 0.3264904019021286,2.1520765019430987,0.47020938560617975,0.9266248076103404,0.9794712057063854,2.9999999999999947,0.09876773073669082,0.0,5.628896067169174,0.0
 0.3365081215900077,2.162037635743494,0.4703803037798308,0.9830135105634463,1.0095243647700227,3.0,0.09808454793104229,0.0,5.7564207478655245,0.0
 0.34623248393984457,2.1719948239407216,0.47056088537687035,1.0389910317538096,1.0386974518195333,3.0,0.0974011712720406,0.0,5.8769043067094495,0.0
 0.35568752552769595,2.1819480317806557,0.47075105091678277,1.0945574063815704,1.0670625765830875,3.0,0.09671759023185643,0.0,5.990817949305927,0.0
 0.36489415802027847,2.191897224509167,0.47095072091905255,1.149712665570797,1.0946824740608352,3.000000000000018,0.09603379339342856,0.0,6.098575158926396,0.0
 0.37387070898001207,2.201842367372128,0.47115981590316414,1.2044568362666652,1.121612126940036,3.0000000000000124,0.09534977004702097,0.0,6.200541294724947,0.0
 0.3826333479642874,2.211783425615411,0.47137825638860203,1.258789941139431,1.1479000438928622,3.000000000000013,0.09466550813745324,0.0,6.297041212989098,0.0
 0.3911964263245851,2.2217203644848884,0.4716059628948507,1.3127119984842808,1.1735892789737554,3.0000000000000067,0.09398099616933868,0.0,6.3883653906518765,0.0
 0.39957275115392965,2.231653149226432,0.4718428559413946,1.3662230221249234,1.198718253461789,3.0000000000000067,0.09329622202332465,0.0,6.474774895874616,0.0
 0.4077738083402486,2.2415817450859143,0.47208885604771816,1.4193230213145336,1.223321425020746,3.0000000000000067,0.09261117308859337,0.0,6.556505462412883,0.0
 0.41580994582641634,2.2515061173092072,0.4723438837333059,1.4720120006392932,1.2474298374792492,3.0,0.09192583717423947,0.0,6.633770857783122,0.0
 0.4236905254248663,2.261426231142183,0.4726078595176423,1.5242899599219306,1.271071576274599,2.999999999999993,0.09124020113242799,0.0,6.706765689722563,0.0
 0.43142404954068025,2.271342051830714,0.47288070392021175,1.576156894122514,1.294272148622041,3.000000000000014,0.09055425176529823,0.0,6.775667763157627,0.0
 0.43901826769324315,2.2812535446206725,0.47316233746049874,1.6276127932452207,1.3170548030797296,2.9999999999999853,0.0898679759877451,0.0,6.840640071011857,0.0
 0.4464802666386085,2.291160674757931,0.4734526806579878,1.6786576422407353,1.3394407999158258,3.000000000000015,0.08918135987946385,0.0,6.90183248787471,0.0
 0.45381654707683644,2.3010634074883605,0.47375165403216335,1.7292914209094565,1.3614496412305095,2.9999999999999925,0.08849438929925725,0.0,6.959383218985094,0.0
 0.4610330893072357,2.310961708057834,0.47405917810250986,1.7795141038067943,1.3830992679217073,3.0000000000000155,0.08780705037012905,0.0,7.013420046210919,0.0
 0.4681354097177366,2.320855541712224,0.4743751733885118,1.8293256601484142,1.40440622915321,2.999999999999992,0.08711932834778846,0.0,7.0640614048004995,0.0
